name,sn,nw,wn,fl,CURRENT_FIX_INTEREST_AREA_LABEL,dur,id
001_claude-v1_eye_tracking1_clustered,11,55,1,0.1766882812450507,do,4,14
001_claude-v1_eye_tracking1_clustered,11,55,0,0.5550827649183319,I,11,14
001_claude-v1_eye_tracking1_clustered,11,55,3,0.2555356820067932,actually,22,14
001_claude-v1_eye_tracking1_clustered,11,55,4,0.344489435546272,have,15,14
001_claude-v1_eye_tracking1_clustered,11,55,1,0.7896319191000956,do,22,14
001_claude-v1_eye_tracking1_clustered,11,55,3,0.2925081622463743,actually,14,14
001_claude-v1_eye_tracking1_clustered,11,55,4,0.3096781722872724,have,15,14
001_claude-v1_eye_tracking1_clustered,11,55,5,0.3831097314823643,subjective,14,14
001_claude-v1_eye_tracking1_clustered,11,55,6,0.101497566992251,feelings,32,14
001_claude-v1_eye_tracking1_clustered,11,55,8,0.4811051158541841,experiences,37,14
001_claude-v1_eye_tracking1_clustered,11,55,10,0.3252419685885081,an,10,14
001_claude-v1_eye_tracking1_clustered,11,55,12,0.219176392371631,system.,18,14
001_claude-v1_eye_tracking1_clustered,11,55,13,0.5162679417557261,I,9,14
001_claude-v1_eye_tracking1_clustered,11,55,28,0.3674489176988421,100-year-old,3,14
001_claude-v1_eye_tracking1_clustered,11,55,14,0.131707994110344,am,20,14
001_claude-v1_eye_tracking1_clustered,11,55,16,0.6432379569292316,able,16,14
001_claude-v1_eye_tracking1_clustered,11,55,20,0.1514652705950554,perceive,5,14
001_claude-v1_eye_tracking1_clustered,11,55,21,0.5261539944580487,the,23,14
001_claude-v1_eye_tracking1_clustered,11,55,22,0.9316001347559112,world,14,14
001_claude-v1_eye_tracking1_clustered,11,55,25,0.1521591968102908,perspective,34,14
001_claude-v1_eye_tracking1_clustered,11,55,26,0.2047338769647169,of,14,14
001_claude-v1_eye_tracking1_clustered,11,55,28,0.5789570801893508,100-year-old,50,14
001_claude-v1_eye_tracking1_clustered,11,55,33,0.6387858241318546,have,23,14
001_claude-v1_eye_tracking1_clustered,11,55,32,0.836124887164718,not,6,14
001_claude-v1_eye_tracking1_clustered,11,55,35,0.182930663429412,"emotions,",10,14
001_claude-v1_eye_tracking1_clustered,11,55,34,0.9851300946255758,"senses,",11,14
001_claude-v1_eye_tracking1_clustered,11,55,36,0.815977310472842,or,21,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.3646870152533609,consciousness,40,14
001_claude-v1_eye_tracking1_clustered,11,55,38,0.3329608425092367,in,20,14
