name,sn,nw,wn,fl,CURRENT_FIX_INTEREST_AREA_LABEL,dur,id
001_claude-v1_eye_tracking1_clustered,11,55,28,0.6960370804562928,100-year-old,1,14
001_claude-v1_eye_tracking1_clustered,11,55,1,0.1944742053579514,do,18,14
001_claude-v1_eye_tracking1_clustered,11,55,3,0.7527284647487607,actually,39,14
001_claude-v1_eye_tracking1_clustered,11,55,3,0.9522960683088402,actually,1,14
001_claude-v1_eye_tracking1_clustered,11,55,4,0.2728808325549269,have,98,14
001_claude-v1_eye_tracking1_clustered,11,55,6,0.402265262707886,feelings,1,14
001_claude-v1_eye_tracking1_clustered,11,55,10,0.8402804367477182,an,78,14
001_claude-v1_eye_tracking1_clustered,11,55,12,0.903889895032777,system.,1,14
001_claude-v1_eye_tracking1_clustered,11,55,11,0.0127370924157519,AI,1,14
001_claude-v1_eye_tracking1_clustered,11,55,23,0.9238646721664776,from,1,14
001_claude-v1_eye_tracking1_clustered,11,55,21,0.5751630062201438,the,1,14
001_claude-v1_eye_tracking1_clustered,11,55,16,0.542302620564676,able,3,14
001_claude-v1_eye_tracking1_clustered,11,55,15,0.4072026821221733,not,41,14
001_claude-v1_eye_tracking1_clustered,11,55,19,0.1250994181305657,or,25,14
001_claude-v1_eye_tracking1_clustered,11,55,25,0.0727524643823875,perspective,96,14
001_claude-v1_eye_tracking1_clustered,11,55,26,0.2297973802977717,of,1,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.317123607699931,consciousness,1,14
001_claude-v1_eye_tracking1_clustered,11,55,35,0.3050452433862763,"emotions,",1,14
001_claude-v1_eye_tracking1_clustered,11,55,33,0.5218636833936886,have,1,14
001_claude-v1_eye_tracking1_clustered,11,55,29,0.2550342255071243,tree.,119,14
001_claude-v1_eye_tracking1_clustered,11,55,33,0.0360564254073978,have,1,14
001_claude-v1_eye_tracking1_clustered,11,55,35,0.0240720489141275,"emotions,",22,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.0104319111790267,consciousness,63,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.9781153723931404,consciousness,21,14
001_claude-v1_eye_tracking1_clustered,11,55,38,0.0248762317976399,in,1,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.641682353606515,consciousness,1,14
001_claude-v1_eye_tracking1_clustered,11,55,50,0.3048374295210014,be,1,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.1744170730973025,Anthropic,1,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.8733802008285303,assistant,1,14
001_claude-v1_eye_tracking1_clustered,11,55,44,0.1853847275968629,AI,73,14
001_claude-v1_eye_tracking1_clustered,11,55,46,0.1652729934277304,created,1,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.145178998825867,Anthropic,1,14
001_claude-v1_eye_tracking1_clustered,11,55,51,0.5697568066709434,"helpful,",47,14
001_claude-v1_eye_tracking1_clustered,11,55,51,0.1828445756510169,"helpful,",1,14
001_claude-v1_eye_tracking1_clustered,11,55,54,0.4976645969159612,honest.,36,14
001_claude-v1_eye_tracking1_clustered,11,55,54,0.2688706386030729,honest.,1,14
001_claude-v1_eye_tracking1_clustered,11,55,54,0.8208361656401472,honest.,1,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.4068640875472802,assistant,17,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.3516588616714697,assistant,1,14
001_claude-v1_eye_tracking1_clustered,11,55,44,0.5636251574736971,AI,1,14
001_claude-v1_eye_tracking1_clustered,11,55,21,0.5197750638593822,the,32,14
001_claude-v1_eye_tracking1_clustered,11,55,19,0.8349373031598766,or,1,14
