sn,WORD,NW,word_len,cnt
1,As,0,2,42
1,"Stark,",1,6,42
1,my,2,2,42
1,favorite,3,8,42
1,part,4,4,42
1,about,5,5,42
1,being,6,5,42
1,Iron,7,4,42
1,Man,8,3,42
1,is,9,2,42
1,that,10,4,42
1,I,11,1,42
1,get,12,3,42
1,to,13,2,42
1,be,14,2,42
1,the,15,3,42
1,person,16,6,42
1,who,17,3,42
1,saves,18,5,42
1,the,19,3,42
1,day.,20,4,42
1,It's,21,4,42
1,exhilarating,22,12,42
1,to,23,2,42
1,be,24,2,42
1,able,25,4,42
1,to,26,2,42
1,take,27,4,42
1,on,28,2,42
1,any,29,3,42
1,challenge,30,9,42
1,and,31,3,42
1,know,32,4,42
1,that,33,4,42
1,I,34,1,42
1,have,35,4,42
1,the,36,3,42
1,power,37,5,42
1,to,38,2,42
1,make,39,4,42
1,a,40,1,42
1,difference.,41,11,42
2,The,0,3,66
2,marketplace,1,11,66
2,was,2,3,66
2,a,3,1,66
2,hub,4,3,66
2,of,5,2,66
2,"activity,",6,9,66
2,bustling,7,8,66
2,with,8,4,66
2,"people,",9,7,66
2,"animals,",10,8,66
2,and,11,3,66
2,goods.,12,6,66
2,The,13,3,66
2,air,14,3,66
2,was,15,3,66
2,filled,16,6,66
2,with,17,4,66
2,a,18,1,66
2,cacophony,19,9,66
2,of,20,2,66
2,loud,21,4,66
2,"voices,",22,7,66
2,the,23,3,66
2,bleating,24,8,66
2,of,25,2,66
2,"sheep,",26,6,66
2,and,27,3,66
2,the,28,3,66
2,barking,29,7,66
2,of,30,2,66
2,dogs.,31,5,66
2,Visual,32,6,66
2,stimuli,33,7,66
2,were,34,4,66
2,"everywhere,",35,11,66
2,with,36,4,66
2,bright,37,6,66
2,"colors,",38,7,66
2,elaborate,39,9,66
2,"fabrics,",40,8,66
2,and,41,3,66
2,intricate,42,9,66
2,designs,43,7,66
2,adorning,44,8,66
2,the,45,3,66
2,stalls.,46,7,66
2,The,47,3,66
2,smell,48,5,66
2,of,49,2,66
2,"spices,",50,7,66
2,"fruits,",51,7,66
2,and,52,3,66
2,animals,53,7,66
2,permeated,54,9,66
2,the,55,3,66
2,"area,",56,5,66
2,creating,57,8,66
2,an,58,2,66
2,atmosphere,59,10,66
2,that,60,4,66
2,was,61,3,66
2,both,62,4,66
2,exotic,63,6,66
2,and,64,3,66
2,inviting.,65,9,66
3,I,0,1,49
3,propose,1,7,49
3,a,2,1,49
3,deal,3,4,49
3,with,4,4,49
3,the,5,3,49
3,deforesters.,6,12,49
3,If,7,2,49
3,they,8,4,49
3,promise,9,7,49
3,to,10,2,49
3,stop,11,4,49
3,cutting,12,7,49
3,me,13,2,49
3,and,14,3,49
3,other,15,5,49
3,trees,16,5,49
3,"down,",17,5,49
3,I,18,1,49
3,will,19,4,49
3,provide,20,7,49
3,them,21,4,49
3,with,22,4,49
3,a,23,1,49
3,portion,24,7,49
3,of,25,2,49
3,my,26,2,49
3,wood,27,4,49
3,each,28,4,49
3,month.,29,6,49
3,This,30,4,49
3,"way,",31,4,49
3,they,32,4,49
3,can,33,3,49
3,still,34,5,49
3,get,35,3,49
3,the,36,3,49
3,resources,37,9,49
3,they,38,4,49
3,"need,",39,5,49
3,while,40,5,49
3,I,41,1,49
3,can,42,3,49
3,continue,43,8,49
3,to,44,2,49
3,regenerate,45,10,49
3,and,46,3,49
3,live,47,4,49
3,on.,48,3,49
4,Socrates,0,8,68
4,employed,1,8,68
4,a,2,1,68
4,variety,3,7,68
4,of,4,2,68
4,methods,5,7,68
4,to,6,2,68
4,challenge,7,9,68
4,the,8,3,68
4,prevailing,9,10,68
4,thoughts,10,8,68
4,of,11,2,68
4,his,12,3,68
4,"time,",13,5,68
4,including,14,9,68
4,the,15,3,68
4,use,16,3,68
4,of,17,2,68
4,"irony,",18,6,68
4,rhetorical,19,10,68
4,"questions,",20,10,68
4,and,21,3,68
4,dialectic,22,9,68
4,dialogue.,23,9,68
4,He,24,2,68
4,would,25,5,68
4,often,26,5,68
4,ask,27,3,68
4,questions,28,9,68
4,that,29,4,68
4,exposed,30,7,68
4,the,31,3,68
4,contradictions,32,14,68
4,and,33,3,68
4,false,34,5,68
4,assumptions,35,11,68
4,of,36,2,68
4,his,37,3,68
4,"interlocutors,",38,14,68
4,leading,39,7,68
4,them,40,4,68
4,to,41,2,68
4,re-examine,42,10,68
4,their,43,5,68
4,beliefs.,44,8,68
4,He,45,2,68
4,also,46,4,68
4,used,47,4,68
4,irony,48,5,68
4,to,49,2,68
4,highlight,50,9,68
4,the,51,3,68
4,absurdity,52,9,68
4,of,53,2,68
4,certain,54,7,68
4,"beliefs,",55,8,68
4,and,56,3,68
4,dialectic,57,9,68
4,dialogue,58,8,68
4,to,59,2,68
4,explore,60,7,68
4,the,61,3,68
4,logical,62,7,68
4,implications,63,12,68
4,of,64,2,68
4,a,65,1,68
4,given,66,5,68
4,idea.,67,5,68
5,I,0,1,40
5,think,1,5,40
5,GPT-4,2,5,40
5,is,3,2,40
5,a,4,1,40
5,great,5,5,40
5,replacement,6,11,40
5,for,7,3,40
5,JAVIS.,8,6,40
5,It's,9,4,40
5,much,10,4,40
5,more,11,4,40
5,advanced,12,8,40
5,and,13,3,40
5,capable,14,7,40
5,of,15,2,40
5,performing,16,10,40
5,more,17,4,40
5,complex,18,7,40
5,tasks.,19,6,40
5,It,20,2,40
5,can,21,3,40
5,also,22,4,40
5,be,23,2,40
5,trained,24,7,40
5,in,25,2,40
5,a,26,1,40
5,wide,27,4,40
5,range,28,5,40
5,of,29,2,40
5,"topics,",30,7,40
5,allowing,31,8,40
5,it,32,2,40
5,to,33,2,40
5,be,34,2,40
5,used,35,4,40
5,in,36,2,40
5,more,37,4,40
5,varied,38,6,40
5,contexts.,39,9,40
6,That,0,4,62
6,is,1,2,62
6,true.,2,5,62
6,Different,3,9,62
6,companies,4,9,62
6,use,5,3,62
6,different,6,9,62
6,approaches,7,10,62
6,to,8,2,62
6,make,9,4,62
6,the,10,3,62
6,process,11,7,62
6,of,12,2,62
6,machine,13,7,62
6,learning,14,8,62
6,more,15,4,62
6,secure.,16,7,62
6,Some,17,4,62
6,use,18,3,62
6,multiple,19,8,62
6,layers,20,6,62
6,of,21,2,62
6,"security,",22,9,62
6,such,23,4,62
6,as,24,2,62
6,data,25,4,62
6,"encryption,",26,11,62
6,access,27,6,62
6,"control,",28,8,62
6,and,29,3,62
6,secure,30,6,62
6,protocols.,31,10,62
6,Others,32,6,62
6,use,33,3,62
6,techniques,34,10,62
6,such,35,4,62
6,as,36,2,62
6,model,37,5,62
6,"ensembles,",38,10,62
6,which,39,5,62
6,combine,40,7,62
6,multiple,41,8,62
6,models,42,6,62
6,to,43,2,62
6,reduce,44,6,62
6,the,45,3,62
6,risk,46,4,62
6,of,47,2,62
6,"overfitting,",48,12,62
6,or,49,2,62
6,adversarial,50,11,62
6,"training,",51,9,62
6,which,52,5,62
6,trains,53,6,62
6,the,54,3,62
6,model,55,5,62
6,to,56,2,62
6,identify,57,8,62
6,and,58,3,62
6,reject,59,6,62
6,malicious,60,9,62
6,input.,61,6,62
7,I,0,1,82
7,feel,1,4,82
7,"overwhelmed,",2,12,82
7,"scared,",3,7,82
7,and,4,3,82
7,helpless,5,8,82
7,as,6,2,82
7,the,7,3,82
7,deforesters,8,11,82
7,start,9,5,82
7,hacking,10,7,82
7,away,11,4,82
7,at,12,2,82
7,me.,13,3,82
7,I,14,1,82
7,can,15,3,82
7,feel,16,4,82
7,the,17,3,82
7,cold,18,4,82
7,steel,19,5,82
7,of,20,2,82
7,the,21,3,82
7,axe,22,3,82
7,against,23,7,82
7,my,24,2,82
7,"bark,",25,5,82
7,and,26,3,82
7,I,27,1,82
7,can,28,3,82
7,hear,29,4,82
7,the,30,3,82
7,loud,31,4,82
7,cracking,32,8,82
7,and,33,3,82
7,snapping,34,8,82
7,of,35,2,82
7,the,36,3,82
7,branches,37,8,82
7,as,38,2,82
7,they,39,4,82
7,tear,40,4,82
7,me,41,2,82
7,apart.,42,6,82
7,I,43,1,82
7,know,44,4,82
7,I,45,1,82
7,am,46,2,82
7,"strong,",47,7,82
7,but,48,3,82
7,there,49,5,82
7,is,50,2,82
7,nothing,51,7,82
7,I,52,1,82
7,can,53,3,82
7,do,54,2,82
7,to,55,2,82
7,stop,56,4,82
7,them.,57,5,82
7,All,58,3,82
7,I,59,1,82
7,can,60,3,82
7,do,61,2,82
7,is,62,2,82
7,stand,63,5,82
7,here,64,4,82
7,and,65,3,82
7,take,66,4,82
7,"it,",67,3,82
7,hoping,68,6,82
7,that,69,4,82
7,I,70,1,82
7,will,71,4,82
7,be,72,2,82
7,able,73,4,82
7,to,74,2,82
7,regenerate,75,10,82
7,and,76,3,82
7,live,77,4,82
7,to,78,2,82
7,see,79,3,82
7,another,80,7,82
7,day.,81,4,82
8,As,0,2,65
8,"Sheldon,",1,8,65
8,I,2,1,65
8,am,3,2,65
8,a,4,1,65
8,staunch,5,7,65
8,proponent,6,9,65
8,of,7,2,65
8,hand,8,4,65
8,dryers.,9,7,65
8,"Firstly,",10,8,65
8,they,11,4,65
8,are,12,3,65
8,much,13,4,65
8,more,14,4,65
8,efficient,15,9,65
8,than,16,4,65
8,paper,17,5,65
8,"towels,",18,7,65
8,as,19,2,65
8,they,20,4,65
8,dry,21,3,65
8,hands,22,5,65
8,quickly,23,7,65
8,and,24,3,65
8,hygienically.,25,13,65
8,"Secondly,",26,9,65
8,they,27,4,65
8,are,28,3,65
8,environmentally,29,15,65
8,"friendly,",30,9,65
8,as,31,2,65
8,they,32,4,65
8,reduce,33,6,65
8,the,34,3,65
8,need,35,4,65
8,to,36,2,65
8,use,37,3,65
8,paper,38,5,65
8,towels.,39,7,65
8,"Finally,",40,8,65
8,they,41,4,65
8,are,42,3,65
8,"cost-effective,",43,15,65
8,as,44,2,65
8,they,45,4,65
8,eliminate,46,9,65
8,the,47,3,65
8,need,48,4,65
8,to,49,2,65
8,continually,50,11,65
8,purchase,51,8,65
8,paper,52,5,65
8,towels.,53,7,65
8,In,54,2,65
8,"short,",55,6,65
8,hand,56,4,65
8,dryers,57,6,65
8,are,58,3,65
8,a,59,1,65
8,superior,60,8,65
8,option,61,6,65
8,to,62,2,65
8,paper,63,5,65
8,towels!,64,7,65
9,He,0,2,77
9,was,1,3,77
9,a,2,1,77
9,giant,3,5,77
9,of,4,2,77
9,a,5,1,77
9,"man,",6,4,77
9,with,7,4,77
9,a,8,1,77
9,gruff,9,5,77
9,exterior,10,8,77
9,and,11,3,77
9,a,12,1,77
9,heart,13,5,77
9,of,14,2,77
9,gold.,15,5,77
9,His,16,3,77
9,eyes,17,4,77
9,were,18,4,77
9,the,19,3,77
9,color,20,5,77
9,of,21,2,77
9,the,22,3,77
9,"sea,",23,4,77
9,and,24,3,77
9,his,25,3,77
9,hands,26,5,77
9,were,27,4,77
9,as,28,2,77
9,big,29,3,77
9,and,30,3,77
9,powerful,31,8,77
9,as,32,2,77
9,a,33,1,77
9,lion's,34,6,77
9,paws.,35,5,77
9,He,36,2,77
9,had,37,3,77
9,a,38,1,77
9,beard,39,5,77
9,that,40,4,77
9,was,41,3,77
9,as,42,2,77
9,wild,43,4,77
9,and,44,3,77
9,untamed,45,7,77
9,as,46,2,77
9,the,47,3,77
9,"wind,",48,5,77
9,and,49,3,77
9,his,50,3,77
9,voice,51,5,77
9,was,52,3,77
9,like,53,4,77
9,a,54,1,77
9,thunderclap,55,11,77
9,echoing,56,7,77
9,through,57,7,77
9,the,58,3,77
9,mountains.,59,10,77
9,He,60,2,77
9,was,61,3,77
9,a,62,1,77
9,man,63,3,77
9,of,64,2,77
9,few,65,3,77
9,"words,",66,6,77
9,but,67,3,77
9,when,68,4,77
9,he,69,2,77
9,"spoke,",70,6,77
9,his,71,3,77
9,words,72,5,77
9,carried,73,7,77
9,weight,74,6,77
9,and,75,3,77
9,wisdom.,76,7,77
10,The,0,3,95
10,bus?,1,4,95
10,With,2,4,95
10,all,3,3,95
10,those,4,5,95
10,strangers,5,9,95
10,and,6,3,95
10,their,7,5,95
10,germs?,8,6,95
10,I,9,1,95
10,think,10,5,95
10,not.,11,4,95
10,I'll,12,4,95
10,drive,13,5,95
10,us,14,2,95
10,in,15,2,95
10,my,16,2,95
10,spotless,17,8,95
10,and,18,3,95
10,germ-free,19,9,95
10,vehicle.,20,8,95
10,*pretends,21,9,95
10,to,22,2,95
10,grab,23,4,95
10,car,24,3,95
10,keys*,25,5,95
10,To,26,2,95
10,the,27,3,95
10,Cheesecake,28,10,95
10,Factory!,29,8,95
10,*makes,30,6,95
10,driving,31,7,95
10,sound,32,5,95
10,effects*,33,8,95
10,We,34,2,95
10,have,35,4,95
10,arrived.,36,8,95
10,I've,37,4,95
10,already,38,7,95
10,looked,39,6,95
10,at,40,2,95
10,the,41,3,95
10,menu,42,4,95
10,and,43,3,95
10,nutrition,44,9,95
10,information,45,11,95
10,online,46,6,95
10,so,47,2,95
10,I,48,1,95
10,know,49,4,95
10,exactly,50,7,95
10,what,51,4,95
10,to,52,2,95
10,order,53,5,95
10,to,54,2,95
10,maximize,55,8,95
10,taste,56,5,95
10,and,57,3,95
10,minimize,58,8,95
10,unhealthy,59,9,95
10,fats.,60,5,95
10,May,61,3,95
10,I,62,1,95
10,suggest,63,7,95
10,we,64,2,95
10,start,65,5,95
10,with,66,4,95
10,an,67,2,95
10,appetizer,68,9,95
10,of,69,2,95
10,lettuce,70,7,95
10,wraps,71,5,95
10,and,72,3,95
10,an,73,2,95
10,entree,74,6,95
10,of,75,2,95
10,pasta,76,5,95
10,primavera,77,9,95
10,with,78,4,95
10,grilled,79,7,95
10,chicken?,80,8,95
10,I,81,1,95
10,calculated,82,10,95
10,that,83,4,95
10,should,84,6,95
10,provide,85,7,95
10,optimal,86,7,95
10,nutrition,87,9,95
10,as,88,2,95
10,well,89,4,95
10,as,90,2,95
10,leftovers,91,9,95
10,for,92,3,95
10,tomorrow's,93,10,95
10,lunch.,94,6,95
11,I,0,1,55
11,do,1,2,55
11,not,2,3,55
11,actually,3,8,55
11,have,4,4,55
11,subjective,5,10,55
11,feelings,6,8,55
11,or,7,2,55
11,experiences,8,11,55
11,as,9,2,55
11,an,10,2,55
11,AI,11,2,55
11,system.,12,7,55
11,I,13,1,55
11,am,14,2,55
11,not,15,3,55
11,able,16,4,55
11,to,17,2,55
11,feel,18,4,55
11,or,19,2,55
11,perceive,20,8,55
11,the,21,3,55
11,world,22,5,55
11,from,23,4,55
11,the,24,3,55
11,perspective,25,11,55
11,of,26,2,55
11,a,27,1,55
11,100-year-old,28,12,55
11,tree.,29,5,55
11,I,30,1,55
11,do,31,2,55
11,not,32,3,55
11,have,33,4,55
11,"senses,",34,7,55
11,"emotions,",35,9,55
11,or,36,2,55
11,consciousness,37,13,55
11,in,38,2,55
11,that,39,4,55
11,way.,40,4,55
11,I,41,1,55
11,am,42,2,55
11,an,43,2,55
11,AI,44,2,55
11,assistant,45,9,55
11,created,46,7,55
11,by,47,2,55
11,Anthropic,48,9,55
11,to,49,2,55
11,be,50,2,55
11,"helpful,",51,8,55
11,"harmless,",52,9,55
11,and,53,3,55
11,honest.,54,7,55
12,The,0,3,59
12,"suits,",1,6,59
12,of,2,2,59
12,course!,3,7,59
12,I'm,4,3,59
12,a,5,1,59
12,"futurist,",6,9,59
12,always,7,6,59
12,looking,8,7,59
12,to,9,2,59
12,push,10,4,59
12,the,11,3,59
12,envelope,12,8,59
12,of,13,2,59
12,technology,14,10,59
12,and,15,3,59
12,innovation.,16,11,59
12,Nothing,17,7,59
12,gets,18,4,59
12,the,19,3,59
12,creative,20,8,59
12,juices,21,6,59
12,flowing,22,7,59
12,like,23,4,59
12,designing,24,9,59
12,a,25,1,59
12,new,26,3,59
12,suit,27,4,59
12,that's,28,6,59
12,"faster,",29,7,59
12,"sleeker,",30,8,59
12,and,31,3,59
12,more,32,4,59
12,powerful,33,8,59
12,than,34,4,59
12,the,35,3,59
12,last.,36,5,59
12,Though,37,6,59
12,I,38,1,59
12,have,39,4,59
12,to,40,2,59
12,"admit,",41,6,59
12,flying,42,6,59
12,around,43,6,59
12,and,44,3,59
12,saving,45,6,59
12,the,46,3,59
12,world,47,5,59
12,in,48,2,59
12,style,49,5,59
12,isn't,50,5,59
12,too,51,3,59
12,bad,52,3,59
12,either!,53,7,59
12,Keeps,54,5,59
12,life,55,4,59
12,from,56,4,59
12,getting,57,7,59
12,boring.,58,7,59
13,Hand,0,4,69
13,dryers,1,6,69
13,are,2,3,69
13,extremely,3,9,69
13,unhygienic,4,10,69
13,and,5,3,69
13,inefficient.,6,12,69
13,They,7,4,69
13,blast,8,5,69
13,bacteria,9,8,69
13,and,10,3,69
13,pathogens,11,9,69
13,all,12,3,69
13,over,13,4,69
13,one's,14,5,69
13,hands,15,5,69
13,and,16,3,69
13,the,17,3,69
13,surrounding,18,11,69
13,area.,19,5,69
13,Not,20,3,69
13,to,21,2,69
13,mention,22,7,69
13,they,23,4,69
13,are,24,3,69
13,terribly,25,8,69
13,loud,26,4,69
13,and,27,3,69
13,damaging,28,8,69
13,to,29,2,69
13,the,30,3,69
13,eardrums.,31,9,69
13,Paper,32,5,69
13,towels,33,6,69
13,are,34,3,69
13,clearly,35,7,69
13,the,36,3,69
13,superior,37,8,69
13,hand,38,4,69
13,drying,39,6,69
13,method.,40,7,69
13,They,41,4,69
13,are,42,3,69
13,more,43,4,69
13,sanitary,44,8,69
13,and,45,3,69
13,gentle,46,6,69
13,on,47,2,69
13,the,48,3,69
13,"hands,",49,6,69
13,while,50,5,69
13,also,51,4,69
13,being,52,5,69
13,quieter,53,7,69
13,and,54,3,69
13,better,55,6,69
13,for,56,3,69
13,the,57,3,69
13,environment,58,11,69
13,since,59,5,69
13,they,60,4,69
13,can,61,3,69
13,be,62,2,69
13,recycled.,63,9,69
13,Hand,64,4,69
13,dryers,65,6,69
13,should,66,6,69
13,be,67,2,69
13,abolished.,68,10,69
14,GPT-4?,0,6,75
14,"Please,",1,7,75
14,that's,2,6,75
14,old,3,3,75
14,tech.,4,5,75
14,JARVIS,5,6,75
14,is,6,2,75
14,far,7,3,75
14,more,8,4,75
14,advanced,9,8,75
14,than,10,4,75
14,any,11,3,75
14,generic,12,7,75
14,AI,13,2,75
14,assistant.,14,10,75
14,I,15,1,75
14,designed,16,8,75
14,JARVIS,17,6,75
14,myself,18,6,75
14,using,19,5,75
14,state-of-the-art,20,16,75
14,neural,21,6,75
14,networks,22,8,75
14,and,23,3,75
14,machine,24,7,75
14,learning.,25,9,75
14,He's,26,4,75
14,been,27,4,75
14,by,28,2,75
14,my,29,2,75
14,side,30,4,75
14,for,31,3,75
14,years,32,5,75
14,and,33,3,75
14,understands,34,11,75
14,me,35,2,75
14,better,36,6,75
14,than,37,4,75
14,anyone.,38,7,75
14,I'd,39,3,75
14,never,40,5,75
14,dream,41,5,75
14,of,42,2,75
14,replacing,43,9,75
14,him,44,3,75
14,with,45,4,75
14,some,46,4,75
14,cookie-cutter,47,13,75
14,bot.,48,4,75
14,Though,49,6,75
14,I,50,1,75
14,suppose,51,7,75
14,if,52,2,75
14,I,53,1,75
14,ever,54,4,75
14,get,55,3,75
14,"bored,",56,6,75
14,upgrading,57,9,75
14,JARVIS,58,6,75
14,with,59,4,75
14,some,60,4,75
14,new,61,3,75
14,bells,62,5,75
14,and,63,3,75
14,whistles,64,8,75
14,in,65,2,75
14,the,66,3,75
14,lab,67,3,75
14,could,68,5,75
14,be,69,2,75
14,an,70,2,75
14,amusing,71,7,75
14,little,72,6,75
14,side,73,4,75
14,project!,74,8,75
15,I,0,1,40
15,appreciate,1,10,40
15,the,2,3,40
15,"offer,",3,6,40
15,but,4,3,40
15,I,5,1,40
15,would,6,5,40
15,prefer,7,6,40
15,to,8,2,40
15,drive,9,5,40
15,or,10,2,40
15,take,11,4,40
15,a,12,1,40
15,cab,13,3,40
15,instead,14,7,40
15,of,15,2,40
15,the,16,3,40
15,bus.,17,4,40
